,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
73,7.23,2.67,8.1,3.23,11.87,16.01,10.8,5.58,0.9,0.059952,0.95,0.81,39,4.34571081665028,5.018475133218678,5.758394993021654
74,7.2,2.65,7.9,3.35,12.03,15.92,11.4,5.68,0.9,0.03725,0.81,0.72,40,6.186079855265468,4.848559381107606,5.16551945065222
75,7.64,3.35,9.02,3.89,12.84,15.15,11.54,6.26,0.8,0.083375,1.0,0.92,55,4.29727884971024,7.005545420988534,5.943308540437693
76,7.62,3.62,9.14,4.38,13.59,17.55,11.1,6.51,0.79,0.0,1.0,0.71,63,6.784331243050166,6.788722040103496,6.793110448768099
77,7.15,2.89,8.13,3.36,12.38,18.46,11.32,6.14,0.94,0.096207,0.74,0.69,47,4.522401287936227,6.45913082277705,6.080555331336661
78,7.3,3.04,8.65,3.52,12.36,16.85,12.22,5.86,0.87,0.008891,1.0,0.98,46,6.342079233279097,5.250871698001981,5.675835181514004
79,7.4,2.93,8.98,3.49,12.0,17.23,8.98,5.64,0.86,0.011606,0.99,0.84,43,4.499828048312026,5.170622862850009,6.271925948215622
80,7.03,2.69,7.31,2.91,11.1,14.28,10.2,5.42,0.89,0.058663,0.81,0.89,35,3.7992998375912186,5.103689250250735,5.4968107616189545
81,7.04,3.16,8.0,3.6,13.04,16.18,12.71,6.41,0.92,0.155408,0.6599999999999999,0.35,50,7.469167876309056,7.179774121683778,3.394466583110848
82,7.04,3.0,8.0,3.52,12.84,17.1,12.22,6.45,0.92,0.162955,0.62,0.33,50,3.374778310988458,7.235731885951426,7.249368906600441
83,7.28,2.98,8.0,3.32,12.87,16.7,12.81,6.22,0.87,0.172283,0.85,0.37,47,3.3942843430404617,7.300097614881607,6.173720012179966
84,7.69,3.31,9.41,4.07,12.95,18.2,12.78,6.36,0.83,0.065791,0.77,0.64,58,4.667745778807336,6.330699297306421,6.856750780896714
85,7.11,3.22,8.15,3.78,13.3,17.1,12.41,6.62,0.93,0.170205,0.79,0.33,54,3.394456275372392,8.06909354768837,6.821765141031432
86,6.86,2.86,7.09,2.86,10.99,13.16,10.54,5.51,0.89,0.116303,0.73,0.5,35,3.3946096962744363,6.39776159362835,5.545905346376457
87,7.53,3.38,8.87,3.93,13.31,16.25,13.15,6.28,0.82,0.067535,0.99,0.68,55,6.337656361549319,6.846625139279844,4.802473704835952
88,7.73,3.32,9.46,4.1,13.03,18.13,12.89,6.39,0.81,0.060855,0.79,0.63,59,4.810068835307469,6.884278614564977,6.438934899205992
89,7.45,2.98,8.31,3.33,12.82,17.67,12.82,6.42,0.84,0.176116,0.71,0.35,51,3.3943895623782527,7.205265833299975,7.19572931021216
90,7.76,3.31,9.86,4.14,12.74,18.63,12.0,6.23,0.81,0.013146,0.97,0.98,58,5.129021812645836,6.257408444235864,6.64984573457758
91,7.15,2.65,8.05,3.25,12.4,15.88,11.87,5.73,0.9,0.091908,0.78,0.49,40,3.8541893092780755,6.48491167129314,6.293257331806117
92,7.0,3.08,7.92,3.5,12.93,16.8,12.92,6.32,0.92,0.156213,0.72,0.35,48,3.3942980575611696,7.5088812943596706,6.879531566369317
93,7.22,3.14,8.0,3.37,13.29,15.86,10.73,6.47,0.88,0.170789,0.65,0.41,51,3.3936297798873505,7.009663286612089,7.455776778996799
94,7.4,3.0,8.52,3.52,12.96,18.47,11.55,6.19,0.88,0.083279,0.81,0.69,50,4.400398007430135,6.82435371223902,6.035112589847758
95,7.3,3.3,8.4,3.93,13.7,17.16,12.72,6.89,0.9,0.175915,0.7,0.35,60,3.3951380902677446,7.593824707785135,7.586435958050324
96,7.37,3.3,8.28,3.65,13.63,15.82,10.79,6.75,0.86,0.192242,0.84,0.4,57,3.394375683364348,8.070534127600204,6.822826528759746
97,7.71,3.42,9.48,4.16,13.4,17.63,13.3,6.53,0.81,0.066108,0.8200000000000001,0.61,62,5.063395541786934,6.9830358885961346,7.051637294047015
98,7.13,3.2,8.18,3.82,13.56,17.62,13.0,6.67,0.93,0.167205,0.74,0.35,55,3.395229228879896,7.5862003083949965,7.591922005197885
99,7.11,3.15,8.15,3.74,13.46,16.59,12.96,6.63,0.93,0.164564,0.62,0.43,54,3.3869116892364985,7.488857240137985,7.471890118482742
100,7.67,3.15,9.41,3.85,12.88,18.58,11.61,6.19,0.85,0.062983,0.8200000000000001,0.73,54,4.636536145181607,6.113011333397671,6.657103686474348
101,7.25,3.14,8.08,3.53,13.49,17.28,10.6,6.47,0.88,0.208676,0.99,0.37,51,8.201147273162604,5.9677929788781885,3.3938812650220105
102,6.97,2.82,7.44,3.03,11.93,15.81,10.6,5.78,0.9,0.135201,0.6599999999999999,0.46,39,3.3689210758447063,6.036679474577163,6.464494228242109
103,7.15,3.15,8.0,3.65,13.63,17.73,13.5,6.54,0.9,0.18736,0.9,0.4,52,6.812644810206263,7.91577736453438,3.3854666351944034
104,7.43,3.17,8.94,3.81,13.16,18.01,12.41,6.26,0.87,0.080902,0.81,0.71,53,4.654062548866303,6.223030669898902,6.989192262791916
105,7.69,3.36,9.42,4.07,13.42,18.05,13.28,6.41,0.81,0.074816,0.9299999999999999,0.6,59,4.570727404689497,6.155982589821077,7.277129173606455
106,7.42,3.32,8.52,3.87,13.81,17.1,12.41,6.97,0.87,0.180901,0.61,0.33,62,3.394823180717457,7.587183494478468,7.593702212339049
107,7.34,3.31,8.46,3.9,13.83,18.5,12.9,6.93,0.89,0.177746,0.65,0.31,61,3.3949889737403307,7.593675543190733,7.586940615370811
108,7.69,3.17,9.86,4.03,12.78,17.96,12.54,6.31,0.84,0.046496,0.94,0.84,58,4.81594140727844,5.924000123222026,7.2781777134367
109,8.08,3.57,10.49,4.59,13.34,18.36,12.87,6.77,0.76,0.017312,0.98,0.78,74,5.5387394463304505,7.04968691386196,6.469805278544845
110,6.88,2.76,7.06,2.76,11.23,14.42,10.73,5.44,0.88,0.119934,0.79,0.46,34,6.3776806546704625,5.315168017021786,3.3127840053227198
111,8.0,3.48,10.46,4.43,13.22,18.71,12.71,6.6,0.81,0.018852,0.96,0.85,69,6.5103402748319334,6.313328600757741,5.568965674391115
