,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
18,7.78,3.11,9.48,3.85,11.77,16.91,11.64,6.17,0.81,0.065746,0.77,0.57,54,4.36321539796609,6.2423242014667,6.410900218246265
19,8.03,3.27,10.44,4.29,12.67,18.92,11.89,6.37,0.81,0.021596,0.9,0.81,63,5.262567320788322,6.140961457963157,6.080652064855353
20,7.89,2.96,9.85,3.93,12.03,17.41,11.91,6.11,0.81,0.046245,0.97,0.83,54,4.853620706490513,6.009884434073469,5.608834459159554
21,7.67,3.0,9.12,3.79,12.01,16.69,11.94,5.86,0.81,0.017202,0.96,0.81,48,6.078083989825524,5.10746224434257,5.227034703892894
22,7.68,3.4,10.06,4.41,12.19,19.41,12.15,6.43,0.81,0.008071,0.9299999999999999,0.91,63,5.872988411654755,5.883633129877646,5.879410747721261
23,7.57,3.36,9.46,4.11,12.49,18.18,11.88,6.19,0.82,0.002253,1.0,0.92,56,5.869016352433406,5.879321185383677,5.883249288432834
24,7.56,3.2,9.0,3.76,12.09,18.51,11.43,5.96,0.82,0.006316,1.0,0.92,50,5.007638909212493,5.94808688076354,5.726899643283826
25,7.84,2.88,9.52,3.84,12.0,17.52,11.63,5.94,0.82,0.044654,0.95,0.88,50,4.6641172903147226,5.605472081347201,5.851574021472274
26,7.56,2.98,8.76,3.56,11.92,16.39,10.3,5.76,0.82,0.026525,0.96,0.9,45,4.732088012603987,5.838669883320089,5.461325529733687
27,8.15,3.52,11.2,4.7,13.01,19.77,12.41,6.93,0.82,0.028339,0.89,0.7,80,5.181641210353828,6.697497488331635,6.693080243850813
28,8.11,3.38,10.87,4.56,13.03,18.75,11.69,6.63,0.82,0.017124,0.97,0.9,71,5.380273433601036,6.209089572358706,6.733454131185581
29,7.55,3.32,9.06,3.89,12.09,16.73,11.63,6.11,0.83,0.016368,0.98,0.8,53,6.455907109297879,5.122865490488261,5.492533983926175
30,7.54,3.04,8.96,3.67,11.99,16.81,11.21,5.95,0.83,0.077665,1.0,0.92,48,4.261592488838873,6.280308346704186,5.801365901456225
31,7.54,3.08,9.08,3.75,12.33,18.02,10.19,5.87,0.83,0.016631,0.96,0.81,48,4.926239512177507,5.7077617164647,6.02477120383551
32,7.39,3.22,8.43,3.65,12.26,16.53,11.11,5.83,0.83,0.025053,0.83,0.64,46,4.665779615980664,5.8567125914237605,5.699894328811215
33,7.7,3.09,9.55,3.96,12.11,17.69,12.1,6.06,0.83,0.02845,0.99,0.84,53,6.29880021818418,5.577047452125838,4.932834555429195
34,8.2,3.54,10.94,4.76,13.26,17.22,13.26,6.9,0.75,0.021297,0.86,0.8,79,7.301479439668027,5.520214603880101,6.533881107938424
35,8.16,3.35,11.08,4.7,13.17,18.87,11.64,6.72,0.84,0.022666,0.87,0.88,74,5.330731949146382,6.160240485298158,6.747068817542878
36,7.89,3.16,10.11,4.07,11.99,17.82,11.98,6.16,0.84,0.02352,1.0,0.82,57,4.779714969906748,5.684422728081682,6.305780752869764
37,8.31,3.56,11.91,5.11,13.23,20.77,12.63,7.14,0.84,0.001306,0.96,1.0,90,6.494950391304883,6.50077204776748,6.502738936511882
38,7.52,3.24,9.12,3.84,11.86,15.74,10.25,5.94,0.84,0.00097,0.96,0.81,50,6.013716794895538,5.089353541588718,5.488527045451857
39,7.65,3.1,9.45,3.73,12.01,17.17,12.0,6.0,0.84,0.036641,0.96,0.79,51,4.557674442671195,5.61262432091221,6.23610126453983
40,8.0,3.06,10.19,4.26,12.59,19.18,11.97,6.43,0.84,0.042538,0.78,0.63,62,4.622363909576687,6.536431203933171,6.533317055960805
41,7.68,3.04,9.56,3.8,11.63,16.55,10.74,5.91,0.84,0.017833,1.0,0.94,50,5.151385187023662,5.458449827264539,5.8018694976033744
42,7.47,3.14,8.73,3.67,12.06,18.07,11.38,5.98,0.84,0.021371,0.96,0.86,49,4.984122625283255,5.699237385655899,6.012554842127863
43,7.32,3.14,8.27,3.55,12.08,16.6,11.58,5.77,0.84,0.035652,0.94,0.74,44,6.157847727459375,5.353527711607836,4.9085585755834895
44,7.29,3.16,8.31,3.6,12.1,15.95,11.78,5.83,0.84,0.035103,0.86,0.67,45,4.58713145156598,5.9844557390879185,6.1094200366049005
45,7.35,3.07,8.33,3.49,12.1,16.14,9.91,5.7,0.84,0.035838,0.95,0.76,43,4.486849372002544,5.2549665089417745,6.377421683175671
46,7.8,2.86,9.47,3.76,12.12,17.59,11.5,5.91,0.84,0.048292,0.98,0.84,49,4.429744574868525,5.521048877351406,6.02617967940478
47,7.4,2.98,8.47,3.49,12.03,16.19,11.88,5.71,0.84,0.053104,0.91,0.77,43,4.1980598724335385,6.170817505849936,5.313915039708245
48,7.76,2.94,9.61,3.88,12.14,17.5,11.73,5.97,0.84,0.021788,0.87,0.82,51,5.0864936855075635,5.443886446987912,6.235528313031701
49,7.38,2.98,8.22,3.47,12.04,17.56,11.23,5.9,0.84,0.056554,0.9,0.67,45,4.308931025270512,5.647160434223447,6.370963317857524
50,7.54,3.43,9.21,4.07,12.06,18.95,11.11,6.23,0.84,0.016642,0.94,0.88,56,5.889667154237322,5.870575117053063,5.878320593927419
51,7.82,3.4,10.0,4.18,13.31,17.99,13.3,6.67,0.82,0.039867,0.83,0.84,67,7.288645014182592,6.712386075012098,4.993376171228325
52,8.18,3.29,11.16,4.79,13.4,20.87,12.77,6.8,0.84,0.018986,0.88,0.82,76,5.558174652322857,6.616109918228616,6.8613602318843245
53,7.58,3.04,9.19,3.73,12.07,17.04,11.85,6.16,0.85,0.070399,0.75,0.62,52,5.08941909536825,6.119371961776991,6.121744505627412
54,8.33,3.56,11.96,5.16,13.13,20.01,12.55,7.16,0.85,0.00041,0.98,0.95,91,6.493810474661262,6.500184297768023,6.502826517106499
55,8.33,3.56,11.96,5.16,13.13,20.01,12.55,7.16,0.85,0.00041,0.98,0.95,91,6.4938104746612595,6.500184297768028,6.5028265171065005
56,7.74,3.07,9.74,3.85,12.17,17.55,12.16,6.11,0.85,0.028377,0.95,0.81,54,4.724462127491717,6.400725598893972,5.994697754867644
57,7.27,2.98,8.24,3.37,12.09,16.48,9.93,5.63,0.85,0.048314,0.99,0.72,41,3.936062713326821,5.213416230809138,6.864037439001503
58,7.43,3.0,8.74,3.57,12.08,16.95,11.7,5.86,0.85,0.053681,0.96,0.76,46,4.198135592939709,6.279027889459014,5.695200809501382
59,8.35,3.59,12.0,5.22,13.01,21.13,12.41,7.18,0.85,0.0,1.0,0.95,92,6.505212633361609,6.498425094491788,6.495593861193972
60,7.57,2.96,9.04,3.7,12.0,16.3,11.95,5.77,0.85,0.014922,0.96,0.82,46,6.069344022157037,5.109558970836235,5.2311853830338
