,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
87,7.21,2.89,8.16,3.11,10.57,14.96,10.25,5.46,0.87,0.047312,0.9299999999999999,0.82,38,3.7719681098463003,5.311455453946132,5.767146123467137
88,7.17,2.78,8.06,3.0,10.6,14.57,10.1,5.35,0.89,0.041995,0.97,0.87,36,3.937576941258213,4.6681696289762655,5.454408377357043
89,6.77,2.39,6.77,2.52,10.62,14.7,10.57,5.33,0.94,0.139813,0.91,0.62,31,3.2308848620749226,4.903254480289673,5.852811870109213
90,7.0,2.78,7.72,3.0,10.63,15.27,10.32,5.42,0.89,0.043028,0.87,0.66,36,4.0463482418461405,5.565241027612155,5.286263377992087
91,6.94,2.56,7.44,2.56,10.63,14.32,9.67,5.19,0.94,0.034133,0.87,0.81,32,5.397546864654669,4.528484435427844,4.100075496840484
92,6.83,2.78,7.39,3.0,10.66,13.36,10.65,5.5,0.92,0.047018,0.79,0.77,36,5.630831415161511,5.377913296099657,3.9457246121651726
93,6.97,2.74,7.77,2.8,10.67,13.94,10.41,5.38,0.94,0.067078,0.94,0.87,35,3.6265581634006954,5.980443613648915,4.597415623628205
94,7.16,2.89,8.11,3.11,10.74,15.7,10.52,5.47,0.89,0.038199,0.95,0.78,38,4.40822713935108,5.111095612292717,5.578868430853681
95,7.0,2.89,7.84,3.16,10.79,15.58,10.66,5.53,0.89,0.042158,0.91,0.82,38,4.261398140088575,5.065773097905109,6.086476046254438
96,6.3,2.44,5.93,2.0,10.81,14.14,10.33,5.15,0.96,0.124807,0.73,0.45,27,2.8532009765275346,5.805127683774684,5.085223655151947
97,7.14,2.81,7.78,2.92,10.81,15.53,10.34,5.48,0.89,0.063521,0.8,0.75,37,4.254474307493295,4.9370753568207055,5.632439149392026
98,7.26,2.84,8.21,3.16,10.82,14.3,10.53,5.44,0.87,0.041703,0.88,0.95,38,3.990266129500925,5.387841870688581,5.150111048690959
99,7.24,2.9,8.62,3.38,10.83,16.78,10.81,5.65,0.88,0.018176,0.92,0.93,42,4.628350753861008,5.54308600762519,5.293486550767183
100,7.18,2.92,8.05,3.28,10.84,15.71,10.25,5.52,0.87,0.033049,0.97,0.85,39,4.438879499482916,5.23536100294872,5.675705820587629
101,7.29,3.05,8.33,3.38,10.89,15.05,10.04,5.65,0.86,0.029097,0.88,0.82,42,4.48959090742461,5.310215404416047,5.745741559750705
102,6.94,2.78,7.67,3.0,10.9,14.84,10.47,5.43,0.92,0.035045,0.8200000000000001,0.87,36,3.884289951334028,5.321164915090146,5.853749337778738
103,7.32,3.0,8.73,3.45,10.91,16.2,10.86,5.72,0.86,0.003994,0.97,1.0,44,5.841323780703144,5.174702683993028,4.916780463879928
104,7.64,2.91,9.0,3.55,10.92,15.01,9.98,5.65,0.82,0.021357,0.97,0.94,44,5.516007049164422,4.659169440820659,5.032750695474722
105,7.2,3.0,8.2,3.2,10.95,15.64,10.84,5.58,0.88,0.043351,0.83,0.77,40,4.141296917963679,5.400866936228203,5.914646231840813
106,7.03,2.69,7.66,2.86,10.97,14.64,10.95,5.4,0.89,0.071421,0.95,0.76,35,3.6196170895631568,5.833558192608357,4.98910080685831
107,6.86,2.86,7.09,2.86,10.99,13.16,10.54,5.51,0.89,0.116303,0.73,0.5,35,3.3946096962744323,6.397761593628349,5.545905346376455
108,6.8,2.57,7.71,2.97,11.01,15.49,10.41,5.43,0.97,0.046707,0.89,0.73,35,4.192753673319524,5.846965628060379,5.240185361103335
109,6.88,2.53,7.65,2.88,11.02,15.53,10.29,5.36,0.94,0.047913,1.0,0.76,34,3.9182198473799734,5.774216434729599,5.17546569318009
110,7.22,3.02,8.29,3.32,11.02,14.96,10.9,5.6,0.88,0.024387,0.99,0.83,41,5.514731998063445,5.262790838054939,4.70749356586124
111,7.25,2.9,8.1,3.25,11.04,15.2,10.62,5.59,0.85,0.034789,0.84,0.83,40,4.480843049326027,5.2674784315285805,5.764427288581847
