,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
87,7.16,2.53,7.68,3.16,12.15,15.97,12.05,5.65,0.89,0.088454,0.8,0.53,38,3.8193405433394414,6.12391833579603,6.714512467654621
88,7.48,2.91,8.91,3.57,12.08,16.76,11.44,5.86,0.89,0.064308,0.83,0.66,46,6.357866091549109,5.353873074355434,4.170289779674687
89,6.8,2.86,6.8,2.91,12.11,16.45,9.03,5.56,0.89,0.115034,0.76,0.4,35,3.395400883014221,6.786208472371081,6.789172134017476
90,7.29,2.84,8.58,3.47,12.02,16.44,11.87,5.91,0.89,0.076696,0.84,0.65,45,4.014232849801146,6.084880415220205,6.188204640198333
91,7.3,2.93,8.67,3.74,13.79,19.89,13.13,6.39,0.89,0.018337,0.97,0.87,54,5.627493151769534,6.420827131674569,7.473200015147304
92,8.9,3.67,12.83,5.79,14.15,22.88,14.15,7.7,0.67,0.0,1.0,0.85,116,7.071625765913827,7.061533113945372,7.066016935791082
93,7.19,3.0,8.29,3.24,11.95,14.69,11.68,5.73,0.9,0.0631,0.84,0.85,42,4.0351131832197655,5.875664794716688,5.584296984827158
94,6.98,2.88,7.51,3.12,12.86,16.28,10.82,5.94,0.9,0.16994,0.91,0.46,41,7.298652068480543,5.508581400589744,3.3848542809994013
95,6.97,2.82,7.49,2.97,12.44,16.04,10.46,5.8,0.9,0.162336,0.91,0.39,39,5.63288957861433,7.086456553927005,3.394546925885458
96,6.97,2.48,7.21,2.73,12.22,15.23,11.96,5.38,0.91,0.119824,0.92,0.61,33,3.580132585948834,6.202785665489003,5.283371293420735
97,7.0,2.38,7.19,2.88,12.11,14.51,10.37,5.26,0.91,0.057657,0.83,0.64,32,3.8856348009806743,6.736485552411412,5.229350989888036
98,6.62,2.75,6.5,2.69,12.03,15.01,9.61,5.4,0.91,0.120037,0.81,0.55,32,3.124140426914648,5.530250296769261,6.307485956959531
99,7.16,2.93,8.42,3.3,12.04,15.29,11.82,5.83,0.91,0.091639,0.97,0.73,43,3.859065276009069,6.881199879663978,5.542846828394212
100,6.82,2.71,6.94,2.65,12.05,15.07,9.55,5.51,0.91,0.13962,0.84,0.51,34,3.1061962061962585,5.816495487093807,6.075479977787219
101,7.21,2.98,8.33,3.26,12.14,15.88,11.84,5.79,0.91,0.072672,0.94,0.73,43,6.563095239770063,4.098661161924562,5.139774990129436
102,8.75,3.65,12.62,5.6,14.43,21.62,14.43,7.56,0.72,0.001939,0.97,0.93,109,6.733321298198934,7.20953325306896,7.100902181821924
103,7.1,2.75,7.85,2.95,12.24,15.94,12.08,5.74,0.92,0.096682,0.96,0.73,40,6.465806072322338,5.118728041996964,3.886050657354569
104,7.16,2.53,8.0,3.05,12.2,15.65,10.71,5.63,0.92,0.124807,0.9,0.5,38,3.218623373510237,5.352440817149037,6.320484034308166
105,6.67,2.94,6.61,2.89,12.14,16.26,11.56,5.69,0.92,0.124391,0.76,0.44,36,3.395338985185263,6.785036661884663,6.790451595890463
106,7.1,2.75,8.0,3.0,12.06,16.3,9.99,5.71,0.92,0.09764,0.96,0.68,40,3.912415713236466,5.449631868476221,6.083092548342384
107,7.05,2.65,7.55,3.0,12.47,16.41,11.89,5.86,0.92,0.138435,0.96,0.62,40,4.124244474332157,6.527098480828042,5.643028039502825
108,7.03,2.77,7.95,3.08,12.09,16.97,11.41,5.65,0.92,0.073669,0.9299999999999999,0.73,39,4.226973047591054,6.187808683800917,5.217227549537576
109,7.2,2.5,7.8,3.1,12.07,15.74,11.86,5.84,0.92,0.157195,0.87,0.62,40,3.4181883070386996,6.403934228417553,5.586699877967852
110,6.4,2.73,6.33,2.47,12.23,13.85,12.23,5.31,0.93,0.12542,0.84,0.52,30,3.0798791959913534,5.609768515659749,5.671265348024095
111,7.02,2.83,7.41,2.83,12.24,16.81,10.65,5.96,0.93,0.172525,0.6599999999999999,0.47,41,2.9371782455241364,5.956028682674744,6.52946526931307
